"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.53013701132853,0.418,0.167,0,"0","AC139720.1"
3.77475828372553e-15,1.28562048396025,0.271,0.135,7.7250428276443e-11,"0","C1orf162"
0,1.12775130309379,0.806,0.583,0,"0","INPP4B"
0,1.11846305592379,0.622,0.397,0,"0","NELL2"
0,1.02739922337025,0.703,0.551,0,"0","IL4R"
1.0778045123061e-12,0.965734271168225,0.343,0.209,2.20572693443444e-08,"0","SLC37A3"
0,0.932912392317248,0.968,0.707,0,"0","LRRN3"
1.25123778005332e-09,0.921726338232733,0.293,0.185,2.56065811687911e-05,"0","RRS1"
0,0.913011776902974,0.95,0.797,0,"0","MAL"
3.26212390433511e-11,0.887390445146053,0.331,0.203,6.67593657022181e-07,"0","AIF1"
0,0.881267072104908,0.733,0.565,0,"0","JAK2"
4.44089209850063e-16,0.870850961430316,0.526,0.381,9.08828567958153e-12,"0","LINC00861"
2.65391839615603e-08,0.866685418114075,0.251,0.155,0.000543124399773331,"0","MYBBP1A"
7.09827752132242e-10,0.843135883258213,0.318,0.205,1.45266249473863e-05,"0","GPATCH4"
1.73128178460047e-11,0.841535261131318,0.369,0.236,3.54306817218486e-07,"0","SNHG25"
1.98379979110541e-10,0.82350281490797,0.286,0.167,4.05984627249723e-06,"0","PGGHG"
0,0.821329459758209,0.554,0.373,0,"0","RNF144A"
6.75015598972095e-14,0.801652164349042,0.411,0.26,1.38141942329639e-09,"0","AC093157.1"
0,0.78730386226344,0.684,0.424,0,"0","TCF7"
0,0.774421949203746,0.792,0.489,0,"0","CCR7"
3.17286197315525e-11,0.761011014042935,0.427,0.311,6.49326202806222e-07,"0","WDR77"
6.85720391579991e-09,0.757025917065279,0.306,0.197,0.000140332678136845,"0","ARMH1"
0,0.73832335079886,0.647,0.477,0,"0","LGALS3BP"
0,0.732012681147963,0.792,0.655,0,"0","TESPA1"
1.16525078475149e-09,0.72027637852432,0.305,0.189,2.38468573099393e-05,"0","PTGIR"
4.16777723444284e-13,0.715264434365368,0.445,0.29,8.52935611028727e-09,"0","TMIGD2"
0,0.700363305088585,0.765,0.619,0,"0","GBP4"
1.45173455479153e-08,0.688117665421863,0.37,0.26,0.000297097476638086,"0","NDUFAF2"
1.76445590152063e-05,0.685783486350443,0.273,0.199,0.361095900246198,"0","PNO1"
1.54098955817972e-13,0.682498166021268,0.697,0.609,3.15363513081479e-09,"0","PTGER2"
0,0.679646248754342,0.993,0.936,0,"0","IFITM1"
6.9220851273144e-11,0.675119518002646,0.343,0.21,1.41660472130489e-06,"0","TAFA1"
4.74271657724401e-07,0.673278414722566,0.302,0.204,0.00970596947532987,"0","BEX2"
1.41350819782282e-05,0.671973015283005,0.254,0.178,0.28927445268444,"0","POLR3D"
8.41056624345526e-09,0.671313785630237,0.474,0.362,0.000172122238172312,"0","FHIT"
