"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.91873208829929e-12,1.23987445224829,0.29,0.173,1.00661852187045e-07,"0","BEX3"
0,1.01359913197036,0.434,0.245,0,"0","NECAB3"
2.70894418008538e-14,0.94178599904969,0.369,0.222,5.54385426454473e-10,"0","SOCS3"
0,0.913378367456334,0.939,0.81,0,"0","MAL"
4.37427871702312e-13,0.900695237703702,0.398,0.258,8.95196139438781e-09,"0","AL391056.1"
0,0.88402449731873,0.829,0.652,0,"0","AQP3"
8.88178419700125e-16,0.864595516642195,0.514,0.348,1.81765713591631e-11,"0","CLIC3"
0,0.843511920245422,0.595,0.33,0,"0","SLC35D2"
5.24913446042774e-13,0.79950890473672,0.384,0.242,1.07423536732654e-08,"0","LINC00861"
0,0.776415618073395,0.981,0.92,0,"0","PCED1B-AS1"
0,0.753377038208111,0.965,0.856,0,"0","UCP2"
0,0.747408822062887,0.686,0.509,0,"0","SH3BP5"
5.55111512312578e-15,0.74250568790614,0.57,0.423,1.13603570994769e-10,"0","MT1X"
5.73690006611116e-09,0.740923826908353,0.304,0.2,0.000117405659852965,"0","THEMIS2"
0,0.729165602084892,0.771,0.613,0,"0","TNFSF8"
3.02338154511972e-11,0.727689401643018,0.408,0.277,6.1873503320875e-07,"0","LINC01215"
0,0.720674033660036,0.625,0.441,0,"0","SNHG32"
6.12718791259681e-07,0.692536420575242,0.279,0.191,0.0125392900631294,"0","AC008555.4"
2.95079761345463e-05,0.677128385305085,0.338,0.265,0.603880731593489,"0","SGK1"
1.21534557306902e-07,0.676637641072767,0.287,0.194,0.00248720471528574,"0","SLC12A9"
1.48483372930386e-07,0.675239840248528,0.258,0.167,0.00303871222702035,"0","G6PC3"
2.73292499741729e-12,0.673383260475144,0.621,0.497,5.59293100721447e-08,"0","NPDC1"
1.96904185201241e-06,0.671494463066008,0.25,0.168,0.040296441501434,"0","TMEM129"
0,0.661252886239836,0.965,0.831,0,"0","GAS5"
5.63748381310347e-10,0.6486958784508,0.338,0.221,1.15371106235163e-05,"0","MEN1"
0,0.646597770979315,0.768,0.598,0,"0","TRADD"
4.11226608321158e-13,0.640581378155874,0.494,0.351,8.4157525392925e-09,"0","PEPD"
1.35580435767224e-12,0.63996937365217,0.44,0.287,2.77465361797624e-08,"0","EPB41L4A-AS1"
2.71943590979262e-07,0.639640444805345,0.38,0.277,0.0055653255893906,"0","LGALS3BP"
4.44089209850063e-15,0.638072829797052,0.492,0.328,9.08828567958153e-11,"0","TSPAN32"
4.11232065666844e-06,0.634255961090906,0.331,0.249,0.0841586422387197,"0","ANTKMT"
0,0.633707529663477,0.713,0.541,0,"0","TESPA1"
0,0.624152905876144,0.814,0.676,0,"0","PTGER2"
7.8590756125152e-10,0.61914698030687,0.441,0.333,1.60835982410124e-05,"0","WDR45"
2.47845464151908e-08,0.613242551267894,0.394,0.289,0.00050721574238688,"0","ATP8B2"
3.04036651410655e-08,0.611456387216031,0.328,0.223,0.000622211007111906,"0","DPH5"
0,0.610933973183715,1,0.992,0,"0","LTB"
0.000475908216529985,0.610295651199777,0.392,0.332,1,"0","OSM"
3.3633825546886e-07,0.608468783047584,0.309,0.214,0.00688316239817022,"0","WDR13"
7.99360577730113e-15,0.604465179461025,0.529,0.364,1.63589142232468e-10,"0","MXD4"
9.31843735507698e-09,0.601260383905957,0.38,0.268,0.00019070182047165,"0","OCEL1"
0,0.600550383227253,0.854,0.752,0,"0","IL7R"
0,0.599726838818489,0.998,0.976,0,"0","CD52"
0,0.599549686182767,0.919,0.852,0,"0","CISH"
1.88737914186277e-14,0.597530461568495,0.608,0.464,3.86252141382215e-10,"0","HAPLN3"
0,0.594267284890345,0.943,0.824,0,"0","PRMT2"
0,0.593543654855033,0.653,0.473,0,"0","ORAI2"
2.19453594205721e-05,0.590548972860033,0.291,0.22,0.449111780542008,"0","TP53TG1"
1.42310709438931e-07,0.590294538020571,0.295,0.199,0.00291238866866772,"0","AC093157.1"
0,0.588422375823233,0.857,0.708,0,"0","ISG20"
1.65867319878998e-13,0.584293678569634,0.587,0.453,3.3944747013237e-09,"0","UBLCP1"
8.41334491852308e-07,0.582995732726346,0.373,0.284,0.0172179103757575,"0","MT1F"
9.46774976195996e-08,0.582724649949574,0.322,0.223,0.00193757498878511,"0","FLNB"
0,0.577737346835827,0.822,0.655,0,"0","TRAPPC6A"
5.26934051947592e-10,0.576922001438389,0.463,0.336,1.07837053731075e-05,"0","TYMP"
0.000100257466871145,0.576448842293033,0.28,0.214,1,"0","RUFY3"
1.2072478572378e-09,0.575302916306232,0.371,0.252,2.47063273983716e-05,"0","TRIM73"
4.20472523465776e-09,0.575244292565854,0.369,0.249,8.6049701927271e-05,"0","C11orf21"
6.12706605451763e-08,0.56850744356329,0.351,0.239,0.00125390406805703,"0","TM7SF2"
1.30891675276246e-09,0.565392362248114,0.571,0.467,2.67869813452837e-05,"0","IFI6"
6.81172421284071e-05,0.563242251784744,0.27,0.204,1,"0","TMEM138"
0,0.562664273265471,0.944,0.838,0,"0","SLFN5"
1.20658238955684e-09,0.560917351773902,0.418,0.293,2.46927086022808e-05,"0","RARA"
1.33655422089873e-05,0.560675724028166,0.318,0.236,0.273525821306926,"0","ANAPC13"
2.22044604925031e-16,0.557853771634555,0.689,0.517,4.54414283979077e-12,"0","RNF166"
2.18662098889766e-05,0.556190546769581,0.3,0.222,0.447491985377906,"0","SCRN2"
1.09688547134112e-09,0.555692994496642,0.458,0.334,2.24477611709961e-05,"0","MEI1"
3.46656037208959e-12,0.553461917794433,0.444,0.295,7.09431580148134e-08,"0","LINC01550"
2.22044604925031e-16,0.552372107567451,0.928,0.836,4.54414283979077e-12,"0","GBP5"
2.59363197585571e-10,0.552106629869909,0.524,0.403,5.30786783858872e-06,"0","ORMDL2"
2.74012523782119e-09,0.551688174795274,0.29,0.174,5.60766629920106e-05,"0","WDR81"
5.57925534883097e-07,0.550789161709054,0.305,0.21,0.0114179460713826,"0","PPP1R3F"
0.00107307757267905,0.550371727139276,0.275,0.219,1,"0","REG4"
7.53231921279962e-10,0.547568153695365,0.475,0.348,1.54148912689944e-05,"0","MFSD5"
1.08112770291768e-07,0.547253122298941,0.623,0.545,0.00221252784402104,"0","PIM2"
1.66454228178736e-09,0.544632977249928,0.553,0.438,3.40648577967784e-05,"0","PRCP"
1.08264962654925e-05,0.543921106207929,0.289,0.205,0.221564246073304,"0","RELL2"
4.04121180963557e-14,0.537075129121887,0.75,0.599,8.27033996841919e-10,"0","TRIM22"
5.18199088417326e-06,0.534427458122845,0.435,0.35,0.106049443444606,"0","MIDN"
0,0.534175629402384,0.896,0.747,0,"0","TSPO"
2.68290684650729e-05,0.533639275315554,0.281,0.207,0.549056886137718,"0","GPX7"
1.80189196896663e-12,0.531600814252574,0.6,0.447,3.68757191449021e-08,"0","ARL14EP"
5.1938885192726e-08,0.527217098433743,0.318,0.215,0.00106292928546914,"0","FLAD1"
3.7786884732327e-11,0.526518514240161,0.575,0.456,7.73308596047073e-07,"0","SAMD9L"
2.10698125613362e-12,0.526052418067801,0.747,0.643,4.31193714067746e-08,"0","SELL"
1.13854904046917e-05,0.523042423162264,0.254,0.178,0.233004061132016,"0","MAP11"
0,0.521562758493904,0.758,0.634,0,"0","MVP"
2.8421709430404e-14,0.518338461831913,0.763,0.629,5.81650283493218e-10,"0","NBDY"
9.17479656692421e-07,0.516601301168672,0.499,0.403,0.0187762211742104,"0","XAF1"
1.77342135643244e-07,0.515767628391863,0.419,0.318,0.00362930680593898,"0","PEX11B"
2.18079554414885e-10,0.514955172845739,0.416,0.274,4.46299808110062e-06,"0","MHENCR"
1.37877786299256e-06,0.513982635937876,0.373,0.286,0.0282166889661428,"0","ACSS1"
1.52455825741526e-12,0.511820855732841,0.745,0.633,3.12000847380034e-08,"0","DOK2"
2.3604584886705e-06,0.510696036875137,0.333,0.246,0.0483067829706418,"0","MARCH2"
6.66133814775094e-16,0.508535369151131,0.755,0.604,1.36324285193723e-11,"0","GRK6"
2.46469511466785e-14,0.501074530642197,0.599,0.431,5.04399855216775e-10,"0","TMEM204"
