p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.9325698006576852,0.97,0.631,0,0,CD8B
0,0.8400845961155547,0.953,0.629,0,0,CD8A
0,0.5040855292660925,0.889,0.599,0,0,KLRK1
0,0.5142262801388799,0.916,0.688,0,0,CTSW
0,0.6972703785912366,0.936,0.72,0,0,NELL2
0,0.5292212181464672,0.802,0.596,0,0,TXK
0,1.2124111012632062,0.41,0.206,0,0,AL391056.1
0,1.0340435811495503,0.417,0.214,0,0,NT5E
0,0.9064125729546058,0.536,0.339,0,0,CLIC3
0,0.7922482785013313,0.604,0.408,0,0,LINC02446
0,0.6569362844005922,0.565,0.37,0,0,PECAM1
0,0.5805882768297795,0.58,0.387,0,0,SLC35D2
0,0.7299583485180341,0.764,0.582,0,0,TNFSF8
0,0.6683157010351031,0.633,0.459,0,0,SNHG32
0,0.602471093902738,0.711,0.537,0,0,CARS
0,0.6916582702454992,0.483,0.311,0,0,TSPAN32
0,0.5439372505467853,0.796,0.629,0,0,CXCR3
0,0.5233388951544973,0.663,0.499,0,0,ORAI2
0,0.6614886348548112,0.577,0.416,0,0,MT1X
0,0.8365528241390066,0.958,0.799,0,0,MAL
0,0.6643156789612676,0.804,0.647,0,0,PTGER2
0,0.3082166251732872,0.797,0.641,0,0,HOPX
0,0.40737809896203914,0.685,0.529,0,0,CCR7
0,0.35181932648945735,0.782,0.628,0,0,PRF1
0,0.5630668285800434,0.611,0.457,0,0,HAPLN3
0,0.3738848738571023,0.845,0.693,0,0,GZMM
0,0.32582183254376273,0.951,0.801,0,0,CD27
0,0.4099003884791299,0.621,0.472,0,0,AIF1
0,0.8487188810967483,0.393,0.244,0,0,MT1F
0,0.4963284440899748,0.896,0.748,0,0,CD55
0,0.7376933231576319,0.406,0.259,0,0,NECAB3
0,0.7386344685559028,0.385,0.24,0,0,C11orf21
0,0.4845491860494149,0.676,0.534,0,0,SH3BP5
0,0.4493325387408654,0.765,0.623,0,0,TRIM22
0,0.4249289327727199,0.683,0.541,0,0,YBX3
0,0.4892516940473559,0.767,0.626,0,0,SELL
0,0.4430923671082405,0.75,0.611,0,0,GRK6
0,0.39123023979537497,0.675,0.536,0,0,ABCD2
0,0.5556959756650688,0.839,0.702,0,0,AQP3
0,0.49436551510384974,0.603,0.467,0,0,UBLCP1
0,0.4333978856356397,0.671,0.536,0,0,IKBKE
0,0.4647164043817275,0.813,0.678,0,0,VSIR
0,1.130220523125412,0.292,0.158,0,0,REG4
0,0.5347037288588057,0.975,0.842,0,0,LRRN3
0,0.5100758096940857,0.87,0.739,0,0,SATB1
0,0.3258102767893156,0.719,0.588,0,0,TESPA1
0,0.46962794414514275,0.422,0.291,0,0,LINC01550
0,0.5374812863249062,0.447,0.316,0,0,PRR5
0,0.5618908301953419,0.621,0.492,0,0,NPDC1
0,0.5277878107049326,0.483,0.357,0,0,PEPD
0,0.5875104006935559,0.422,0.297,0,0,LINC01215
0,0.3046410047342768,0.886,0.761,0,0,DNPH1
0,0.33777512783728364,0.749,0.624,0,0,FKBP11
0,0.55253088440225,0.352,0.227,0,0,ITGAX
0,0.4050901923983167,0.784,0.66,0,0,DENND2D
0,0.3339102956615062,0.835,0.711,0,0,COPS9
0,0.3367466155657337,0.64,0.516,0,0,FURIN
0,0.3868968059209694,0.763,0.639,0,0,MVP
0,0.6689102296374139,0.308,0.185,0,0,KLRC4
0,0.3446067887909712,0.535,0.413,0,0,MXD4
0,0.31143153305225557,0.802,0.68,0,0,TRAPPC6A
0,0.45553918151633704,0.766,0.644,0,0,NBDY
0,0.42950244553309025,0.46,0.339,0,0,PRKAR1B
0,0.38621063907554165,0.627,0.506,0,0,NDUFAF8
0,0.321481238446037,0.665,0.544,0,0,TPST2
0,0.41232319322474054,0.856,0.736,0,0,ISG20
0,0.44933534218482446,0.589,0.469,0,0,TMEM204
0,0.44313711933331723,0.471,0.353,0,0,IVD
0,0.570393174301645,0.394,0.276,0,0,A1BG
0,0.377514864733747,0.73,0.613,0,0,SNHG8
0,0.3227463900395018,0.889,0.772,0,0,TSPO
0,0.4192280790625412,0.918,0.802,0,0,RABAC1
0,0.30951248377942653,0.789,0.673,0,0,TOMM22
0,0.4276581974398904,0.564,0.449,0,0,PRCP
0,0.45407406819877827,0.966,0.852,0,0,GAS5
0,0.27739182058883954,0.772,0.659,0,0,PHYKPL
0,0.3702710761182072,0.914,0.801,0,0,HLA-F
0,0.25309889206788194,0.69,0.577,0,0,SIRPG
0,0.3614715320995202,0.837,0.725,0,0,TAP2
0,0.2663432252012553,0.73,0.618,0,0,NLRC5
0,0.3688595225001722,0.659,0.547,0,0,RNF166
0,0.32458583914581174,0.805,0.694,0,0,SDHC
0,0.2804500079377995,0.856,0.745,0,0,C1QBP
0,0.516238886419317,0.942,0.831,0,0,PRMT2
0,0.44129015731572796,0.933,0.823,0,0,PRKCQ-AS1
0,0.2842701626586299,0.683,0.573,0,0,RASGRP2
0,0.30694647379213014,0.9,0.79,0,0,PRDX6
0,0.46334523629741,0.498,0.388,0,0,RAB37
0,0.6029254170958582,0.928,0.819,0,0,CISH
0,0.39928018999764747,0.859,0.75,0,0,IL7R
0,0.4396542640206871,0.923,0.815,0,0,GBP5
0,0.31077400502859975,0.914,0.806,0,0,TWF2
0,0.28418728612871946,0.548,0.441,0,0,TIAM1
0,0.4663152845541447,0.417,0.31,0,0,WDR77
0,0.49159379497688294,0.438,0.331,0,0,EPB41L4A-AS1
0,0.2660758121056963,0.643,0.537,0,0,PLAC8
0,0.3112121581166558,0.703,0.597,0,0,SNHG5
0,0.2593684596288685,0.653,0.547,0,0,LGALS3
0,0.4310324575156068,0.539,0.434,0,0,RAB29
0,0.45068058314941606,0.583,0.478,0,0,LST1
0,0.31719797590586063,0.581,0.476,0,0,FBRS
0,0.4190281873380064,0.465,0.361,0,0,EDEM2
0,0.3142079839516949,0.588,0.484,0,0,ARL14EP
0,0.3360433143148447,0.65,0.546,0,0,CARD16
0,0.41110538685047104,0.571,0.467,0,0,ORMDL3
0,0.38401347791210716,0.399,0.296,0,0,BCAS4
0,0.36138515673786986,0.559,0.456,0,0,APOL3
0,0.3506315591017888,0.579,0.476,0,0,ZNF22
0,0.30370006362831864,0.588,0.485,0,0,TRPV2
0,0.30982045939379077,0.658,0.555,0,0,PARVG
0,0.4579694829577561,0.917,0.815,0,0,XBP1
0,0.593867183882181,0.309,0.207,0,0,SLC12A9
0,0.2719762009671076,0.849,0.747,0,0,PDCD6
0,0.3229211479702844,0.604,0.502,0,0,HSD17B10
0,0.4095330437968744,0.493,0.392,0,0,IGSF8
0,0.3599305517064286,0.604,0.503,0,0,PDLIM2
0,0.34207125961361434,0.765,0.664,0,0,NSMCE1
0,0.25679031746106845,0.782,0.681,0,0,R3HDM4
0,0.45271408737217533,0.983,0.882,0,0,HCST
0,0.25222775227139826,0.796,0.696,0,0,OXA1L
0,0.5586178870965637,0.973,0.873,0,0,UCP2
0,0.2920339174663545,0.665,0.566,0,0,CCDC69
0,0.6778466670005194,0.291,0.192,0,0,AC013264.1
0,0.3127595068732702,0.639,0.54,0,0,OXLD1
0,0.4825002008341872,0.397,0.299,0,0,RARA
0,0.294308222984163,0.744,0.646,0,0,ZNF428
0,0.5888322339963068,0.328,0.231,0,0,CD9
0,0.3206014837242398,0.733,0.636,0,0,ISG15
0,0.26927287172790737,0.419,0.322,0,0,HAVCR2
0,0.39668575263809336,0.409,0.313,0,0,LY75
0,0.319303543129661,0.487,0.392,0,0,GALT
0,0.314446934456578,0.642,0.547,0,0,PTPRCAP
0,0.4205138520057019,0.368,0.273,0,0,ACSS1
0,0.43563302709932117,0.374,0.279,0,0,DENND6B
0,0.38491763413756774,0.931,0.837,0,0,BIN2
0,0.3326091826739237,0.496,0.402,0,0,DNAJC10
0,0.25414804621499254,0.775,0.681,0,0,VPS51
