p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.2124111012632062,0.41,0.206,0,0,AL391056.1
0,1.130220523125412,0.292,0.158,0,0,REG4
0,1.0340435811495503,0.417,0.214,0,0,NT5E
0,0.9325698006576852,0.97,0.631,0,0,CD8B
0,0.9064125729546058,0.536,0.339,0,0,CLIC3
0,0.8487188810967483,0.393,0.244,0,0,MT1F
0,0.8400845961155547,0.953,0.629,0,0,CD8A
0,0.8365528241390066,0.958,0.799,0,0,MAL
0,0.7922482785013313,0.604,0.408,0,0,LINC02446
0,0.7553641339937959,0.297,0.215,0,0,KRT7
0,0.7386344685559028,0.385,0.24,0,0,C11orf21
0,0.7376933231576319,0.406,0.259,0,0,NECAB3
0,0.7299583485180341,0.764,0.582,0,0,TNFSF8
0,0.6972703785912366,0.936,0.72,0,0,NELL2
0,0.6916582702454992,0.483,0.311,0,0,TSPAN32
0,0.686047006026123,0.983,0.916,0,0,PCED1B-AS1
0,0.6778466670005194,0.291,0.192,0,0,AC013264.1
0,0.6689102296374139,0.308,0.185,0,0,KLRC4
0,0.6687884645192637,0.259,0.173,0,0,AC127521.1
0,0.6683157010351031,0.633,0.459,0,0,SNHG32
0,0.6643156789612676,0.804,0.647,0,0,PTGER2
0,0.6614886348548112,0.577,0.416,0,0,MT1X
0,0.6569362844005922,0.565,0.37,0,0,PECAM1
0,0.6413171094639856,0.256,0.167,0,0,DBN1
0,0.635090752799255,0.357,0.289,0,0,OSM
0,2.813933526661999,0.52,0.093,0,1,IGFBP2
0,2.4737956199642452,0.28,0.052,0,1,FGF11
0,2.0544365531837974,0.635,0.233,0,1,FGFBP2
0,2.0393005811287277,0.269,0.043,0,1,SDK2
0,2.026376767313355,0.431,0.1,0,1,PFKFB4
0,2.000078706335257,0.354,0.082,0,1,VEGFA
0,1.9924429529421779,0.829,0.269,0,1,AK4
0,1.8989755013432519,0.717,0.194,0,1,MIR210HG
0,1.8700991091681038,0.803,0.324,0,1,ALDOC
0,1.6667119146894678,0.343,0.106,0,1,AC097534.2
0,1.6341188505974862,0.998,0.879,0,1,GPI
0,1.5754612455327295,0.977,0.609,0,1,BNIP3L
0,1.5743777921521074,0.851,0.443,0,1,BNIP3
0,1.5656857222511071,0.934,0.604,0,1,FAM162A
0,1.5495860201435305,0.892,0.436,0,1,P4HA1
0,1.522533804539354,0.337,0.12,0,1,HK2
0,1.5142554052642594,0.867,0.481,0,1,SLC16A3
0,1.4510083123454567,0.545,0.198,0,1,HIF1A-AS3
0,1.4473808691573624,0.4,0.155,0,1,FAM153CP
0,1.4297178669300368,0.688,0.277,0,1,AC078883.1
0,1.3779966782725888,0.999,0.945,0,1,PGK1
0,1.3361751888467315,0.91,0.732,0,1,MKNK2
0,1.3214494104110166,0.38,0.158,0,1,ANKRD37
0,1.3213048171091408,0.275,0.113,0,1,HILPDA
0,1.2861804239034236,0.599,0.336,0,1,HIC1
0,3.1659197786820306,0.296,0.04,0,2,AC139720.1
0,2.8552416450464255,0.752,0.106,0,2,CD4
0,2.5293912531877103,0.412,0.079,0,2,CYSLTR1
0,2.4025724019018257,0.664,0.159,0,2,CD40LG
0,2.3914524658324683,0.565,0.163,0,2,CCR4
0,2.089969884571614,0.378,0.101,0,2,GPR183
0,1.8621218614631114,0.292,0.084,0,2,TNFRSF4
0,1.8496030545641213,0.28,0.075,0,2,TSHZ2
0,1.827587461126916,0.375,0.123,0,2,MAF
0,1.7475605156353027,0.296,0.106,0,2,TNFSF13B
0,1.6104970931911846,0.256,0.091,0,2,PTGIR
0,1.6007413450170607,0.352,0.128,0,2,CSGALNACT1
0,1.5942596909839604,0.271,0.118,0,2,SNED1
0,1.5808534587955108,0.329,0.116,0,2,ZBTB7B
0,1.5270952482151245,0.28,0.102,0,2,PDE7B
0,1.4929628652152342,0.714,0.39,0,2,INPP4B
0,1.4419844888106734,0.487,0.231,0,2,PALM2-AKAP2
0,1.289772844090185,0.374,0.189,0,2,CD59
0,1.2689516582669598,0.25,0.099,0,2,FAAH2
0,1.2043813558867766,0.458,0.24,0,2,ADI1
0,1.1309544637955955,0.55,0.319,0,2,LGALS3BP
0,1.1263340950666183,0.491,0.291,0,2,LINC00861
0,1.0943998884113784,0.469,0.355,0,2,ITGB1
0,1.084534560931979,0.264,0.185,0,2,CTSH
0,1.054475749381968,0.374,0.23,0,2,BEX3
0,3.8018153343670775,0.391,0.05,0,3,HIST1H2AI
0,3.563273317007959,0.702,0.126,0,3,HIST1H4F
0,3.5089478016950677,0.902,0.121,0,3,HIST1H3G
0,3.3074858723948255,0.78,0.131,0,3,HIST1H3C
0,3.2791138148445436,0.895,0.212,0,3,HIST1H2AL
0,3.1855491254981594,0.936,0.171,0,3,HIST1H3B
0,3.1529777762019426,0.744,0.185,0,3,HIST1H2BF
0,3.1389167584943842,0.4,0.074,0,3,HIST1H2AB
0,3.1227550081878634,0.53,0.101,0,3,HIST2H2AB
0,2.960474831783258,0.439,0.082,0,3,HIST1H2AJ
0,2.9184831340122273,0.65,0.178,0,3,HIST1H3H
0,2.84455290337011,0.445,0.094,0,3,HIST1H4I
0,2.770370634217739,0.47,0.123,0,3,HIST1H4H
0,2.7468701701423375,0.625,0.144,0,3,HIST1H2BH
0,2.7064972652288426,0.931,0.366,0,3,HIST1H3D
0,2.6194544876102155,0.699,0.137,0,3,HIST1H3F
0,2.5403018058773545,0.98,0.345,0,3,HIST1H1B
0,2.521538540571947,0.332,0.079,0,3,HIST2H2BF
0,2.5186642057949733,0.862,0.302,0,3,HIST1H2AG
0,2.4671987088632155,0.42,0.112,0,3,HIST1H4D
0,2.4278594507548914,0.471,0.152,0,3,HIST1H2AE
0,2.4170126384058674,0.324,0.074,0,3,ENTPD1
0,2.398855031004218,0.304,0.077,0,3,E2F7
